  'model_size_camera2': 'yolov5m.pt',
  'model_size_camera3': 'yolov5m.pt',
  'model_size_camera4': 'yolov5m.pt',
  'resolution_camera1': '1280',
  'resolution_camera2': '1280',
  'resolution_camera3': '1280',
  'resolution_camera4': '1280',
})

[2024-03-13 22:33:28,068][0][WARNING][history.py:242] Duplicate configuration detected!
[2024-03-13 22:33:28,069][0][INFO][generic_smbo.py:295] Iter 7, objectives: [0.2537572765718038, 0.32757492671410243].
[2024-03-13 22:33:28,069][0][WARNING][generic_smbo.py:253] Evaluating duplicated configuration: Configuration(values={
  'fps_camera1': '4',
  'fps_camera2': '4',
  'fps_camera3': '4',
  'fps_camera4': '4',
  'lazy_threshold': 0.9,
  'model_size_camera1': 'yolov5m.pt',
  'model_size_camera2': 'yolov5m.pt',
  'model_size_camera3': 'yolov5m.pt',
  'model_size_camera4': 'yolov5m.pt',
  'resolution_camera1': '1280',
  'resolution_camera2': '1280',
  'resolution_camera3': '1280',
  'resolution_camera4': '1280',
})

[2024-03-13 23:24:50,332][0][WARNING][history.py:242] Duplicate configuration detected!
[2024-03-13 23:24:50,332][0][INFO][generic_smbo.py:295] Iter 8, objectives: [0.2537572765718038, 0.19854710264338388].
[2024-03-13 23:24:50,333][0][WARNING][generic_smbo.py:253] Evaluating duplicated configuration: Configuration(values={
  'fps_camera1': '4',
  'fps_camera2': '4',
  'fps_camera3': '4',
  'fps_camera4': '4',
  'lazy_threshold': 0.5,
  'model_size_camera1': 'yolov5m.pt',
  'model_size_camera2': 'yolov5m.pt',
  'model_size_camera3': 'yolov5m.pt',
  'model_size_camera4': 'yolov5m.pt',
  'resolution_camera1': '1280',
  'resolution_camera2': '1280',
  'resolution_camera3': '1280',
  'resolution_camera4': '1280',
})

[2024-03-14 00:27:39,034][0][WARNING][history.py:242] Duplicate configuration detected!
[2024-03-14 00:27:39,035][0][INFO][generic_smbo.py:295] Iter 9, objectives: [0.2537572765718038, 0.2851184160179562].
[2024-03-14 01:43:35,935][0][INFO][generic_smbo.py:295] Iter 10, objectives: [0.2537572765718038, 0.3871236796511544].
[2024-03-14 02:45:14,768][0][INFO][generic_smbo.py:295] Iter 11, objectives: [0.2537572765718038, 0.27748667928907605].
[2024-03-14 03:42:57,365][0][INFO][generic_smbo.py:295] Iter 12, objectives: [0.2537572765718038, 0.24815578629573187].
